AdpType;Prep,Preppron;
Definite;Def,Ind;
Gender;Com,Fem,Masc,Neut,Unsp;
Number;Plur,Sing,Unsp;
Mood;Cnd,Imp,Ind,Sub;
Tense;Fut,Imp,Past,Pqp,Pres;
VerbForm;Conv,Fin,Ger,Inf,Part,Vnoun;
Voice;Act,Mid,Pass;
PronType;Art,Dem,Emp,Exc,Ind,Int,Neg,Prs,Rcp,Rel,Tot;
Degree;Abs,Cmp,Pos,Sup;
PartType;Inf;
Case;Acc,Com,Dat,Gen,Ins,Loc,Nom,Par,Voc;
Person;1,2,3,First,Second,Third;
NumType;Card,Frac,Mult,Ord,Range,Sets;
Number[psor];Plur,Sing;
Poss;Yes,No;
Reflex;Yes,No;
Style;Arch,Form;
Polite;Form;
Foreign;Yes,No;
Abbr;Yes,No;
Aspect;Imp,Perf;
PrepCase;Npr,Pre;
PunctType;Brck,Colo,Comm,Dash,Excl,Peri,Qest,Quot,Semi;
Polarity;Neg,Pos;
PunctSide;Fin,Ini;
NumForm;Digit;
AdvType;Tim;
Clitic;Yes,No;
Animacy;Anim,Hum,Inan,Nhum;
Variant;Long,Short;
Hyph;Yes,No;
Typo;Yes,No;
StyleVariant;Long,Short;
